form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;;Muscicapa striata | Сива мухоловка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Myiopsitta monachus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Neophron percnopterus | Египетски лешояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Netta rufina | Червеноклюна потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Nucifraga caryocatactes | Сокерица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Numenius arquata | Голям свирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Numenius phaeopus | Малък свирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Numenius tenuirostris | Тънкоклюн свирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Nyctea scandiaca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Nycticorax nycticorax | Нощна чапла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oceanodroma castro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oceanodroma leucorhoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe cypriaca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe deserti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe finschii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe hispanica | Испанско каменарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe isabellina | Ориенталско каменарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe leucopyga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe leucura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe oenanthe | Сиво каменарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe pleschanka | Черногърбо каменарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oenanthe xanthoprymna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oriolus oriolus | Авлига;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Otis tarda | Голяма дропла;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Otus brucei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Otus scops | Чухал;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oxyura jamaicensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Oxyura leucocephala | Тръноопашата потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pagophila eburnea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pandion haliaetus | Орел рибар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Panurus biarmicus | Мустакато тръстикарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus ater | Черен синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus caeruleus | Син синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus cinctus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus cristatus | Качулат синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus cyanus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus lugubris | Жалобен синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus major | Голям синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus montanus | Матовоглав синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Parus palustris | Лъскавоглав синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Passer domesticus | Домашно врабче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Passer hispaniolensis | Испанско врабче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Passer moabiticus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Passer montanus | Полско врабче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pelagodroma marina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pelecanus crispus | Къдроглав пеликан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pelecanus onocrotalus | Розов пеликан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Perdix hodgsoniae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Perdix perdix | Яребица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Perisoreus infaustus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pernis apivorus | Осояд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Petronia petronia | Скално врабче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Petronia xanthocollis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phalacrocorax aristotelis | Качулат корморан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phalacrocorax carbo | Голям корморан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phalacrocorax pygmaeus | Малък корморан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phalaropus fulicarius | Плоскоклюн листоног;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phalaropus lobatus | Тънкоклюн листоног;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phalaropus tricolor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phasianus colchicus | Фазан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Philomachus pugnax | Бойник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phoenicopterus ruber | Розово фламинго;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phoenicurus erythrogaster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phoenicurus ochruros | Домашна червеноопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phoenicurus phoenicurus | Градинска червеноопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phoenicurus torquata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus orientalis | Източен планински певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus borealis | Северен певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus collybita | Елов певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus inornatus | Жълтовежд певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus lorenzii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus neglectus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus nitidus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus proregulus | Кралчев певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus sibilatrix | Буков певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus sindianus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus spp. | Неопределени певци;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus trochiloides | Зеленикав певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus trochilus | Брезов певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pica pica | Сврака;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Picoides tridactylus | Трипръст кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Picus canus | Сив кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Picus viridis | Зелен кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pinicola enucleator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Platalea leucorodia | Бяла лопатарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Plectrophenax nivalis | Сежна овесарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Plegadis falcinellus | Блестящ ибис;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pluvialis apricaria | Златиста булка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pluvialis squatarola | Сребриста булка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Podiceps auritus | Ушат гмурец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Podiceps cristatus | Голям гмурец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Podiceps grisegena | Червеноврат гмурец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Podiceps nigricollis | Черноврат гмурец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Polysticta stelleri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Porphyrio porphyrio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Porzana parva | Средна пъструшка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Porzana porzana | Голяма пъструшка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Porzana pusilla | Малка пъструшка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Porzana spp. | Неопределена пъструшка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Prinia gracilis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Prunella atrogularis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Prunella collaris | Пъстрогуша завирушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Prunella modularis | Сивогуша завирушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Prunella montanella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Prunella ocularis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pterocles alchata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pterocles orientalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pterodroma feae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pterodroma madeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pterodroma mollis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Ptyonoprogne rupestris | Скална лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Puffinus assimilis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Puffinus gravis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Puffinus griseus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Puffinus mauretanicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Puffinus puffinus | Обикновен буревестник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Puffinus yelkouan | Средиземноморски буревестник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pycnonotus barbatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pycnonotus xanthopygos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pyrrhocorax graculus | Жълтоклюна гарга;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pyrrhocorax pyrrhocorax | Червеноклюна гарга;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pyrrhula murina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pyrrhula pyrrhula | Червенушка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Rallus aquaticus | Воден дърдавец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Recurvirostra avosetta | Саблеклюн;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Regulus ignicapillus | Червеноглаво кралче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Regulus regulus | Жълтоглаво кралче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Regulus teneriffae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Remiz pendulinus | Торбогнезден синигер;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Rhodopechys sanguinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Rhodospiza obsoleta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Rhodostethia rosea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Riparia riparia | Брегова лястовица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Rissa tridactyla | Трипръста чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Saxicola dacotiae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Saxicola maurus | Сибирско ливадарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Saxicola rubetra | Ръждивогушо ливадарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Saxicola torquata | Черногушо ливадарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Scolopax rusticola | Горски бекас;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Serinus canaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Serinus citrinella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Serinus pusillus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Serinus serinus | Диво канарче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sitta europaea | Горска зидарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sitta krueperi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sitta neumayer | Скална зидарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sitta tephronota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sitta whiteheadi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Somateria mollissima | Обикновена гага;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Somateria spectabilis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Stercorarius longicaudus | Дългоопашат морелетник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Stercorarius parasiticus | Остроопашат морелетник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Stercorarius pomarinus | Тъпоопашат морелетник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Stercorarius skua | Голям морелетник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna albifrons | Белочела рибарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna bengalensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna caspia | Каспийска рибарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna dougallii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna fuscata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna hirundo | Речна рибарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna paradisaea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna sandvicensis | Гривеста рибарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Streptopelia decaocto | Гугутка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Streptopelia orientalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Streptopelia roseogrisea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Streptopelia senegalensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Streptopelia turtur | Гургулица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Strix aluco | Горска улулица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Strix nebulosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Strix uralensis | Уралска улулица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sturnus roseus | Розов скорец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sturnus unicolor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sturnus vulgaris | Обикновен скорец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Surnia ulula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia atricapilla | Голямо черноглаво коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia borin | Градинско коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia cantillans | Червеногушо коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia communis | Голямо белогушо коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia conspicillata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia curruca | Малко белогушо коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia hortensis | Орфеево коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia melanocephala | Черноглаво коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia melanothorax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia mystacea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia nana | Азиатско пустинно коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia nisoria | Ястребогушо коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia rueppelli | Черногушо коприварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia sarda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sylvia undata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Syrmaticus reevesii | Царски фазан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Syrrhaptes paradoxus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tachybaptus ruficollis | Малък гмурец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tadorna ferruginea | Червен ангъч;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tadorna tadorna | Бял ангъч;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tarsiger cyanurus | Синьоопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tetrao mlokosiewiczi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tetrao tetrix | Тетрев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tetrao urogallus | Глухар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tetraogallus caspius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tetraogallus caucasicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tetrax tetrax | Стрепет;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tichodroma muraria | Скалолазка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa erythropus | Голям червенокрак водобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa flavipes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa glareola | Малък горски водобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa nebularia | Голям зеленокрак водобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa ochropus | Голям горски водобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa stagnatilis | Малък зеленоног водобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa totanus | Малък червенокрак водобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Troglodytes troglodytes | Орехче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tryngites subruficollis | Ръждивогръд брегобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus iliacus | Беловежд дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus merula | Кос;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus philomelos | Поен дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus pilaris | Хвойнов дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus ruficollis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus torquatus | Белогуш дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus viscivorus | Имелов дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turnix sylvatica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tyto alba | Забулена сова;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Upupa epops | Папуняк;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Uria aalge | Тънкоклюна кайра;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Uria lomvia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Vanellus vanellus | Обикновена калугерица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Xenus cinereus | Пепеляв брегобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Zoothera dauma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Zoothera sibirica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Anatinae | Патицоподобни;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Aythya sp. | Неопределена потапница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Calidris sp. | Неопределен брегобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Charadrii sp. | Неопределен дъждосвирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Cygnus sp. | Неопределен лебед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Galinago sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gallinago sp. | Неопределена бекасина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L.mich./cach. | Жълтокрака/Каспийска чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Larus sp. | Неопределена чайка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Mergus sp. | Неопределен нирец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phalacrocorax sp. | Неопределен корморан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Podiceps sp. | Неопределен гмурец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Tringa sp. | Неопределен водобегач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Anser sp. | Неопределена гъска;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Acrocephalus sp. | Неопределено шаварче;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Anas sp. | Неопределена патица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Circus sp. | Неопределен блатар;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Falco sp. | Неопределен сокол;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Gavia sp. | Неопределен гмуркач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Sterna sp. | Неопределена рибарка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Anthus sp. | Неопределена бъбрица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Motacilla sp. | Неопределена стърчиопашка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Pelecanus sp. | Неопределен пеликан;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Phylloscopus sp. | Неопределен певец;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Dendrocopos sp. | Неопределен кълвач;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Turdus sp. | Неопределен дрозд;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Accipiter sp. | Неопределен ястреб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Apus sp. | Неопределен бързолет;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Aquila sp. | Неопределен орел;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
