form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
;;;;;;Buteo buteo | Обикновен мишелов;;;;;;;;;;;;;;;;Chinomys nivalis | Снежна полевка;;;;;;;;;;;;;;;
;;;;;;Buteo lagopus | Северен мишелов;;;;;;;;;;;;;;;;Sicista subtilis | Скачаща степна мишка;;;;;;;;;;;;;;;
;;;;;;Buteo rufinus | Белоопашат мишелов;;;;;;;;;;;;;;;;Spalax leucodon | Сляпо куче;;;;;;;;;;;;;;;
;;;;;;Butorides virescens;;;;;;;;;;;;;;;;Myocastor coypus | Нутрия;;;;;;;;;;;;;;;
;;;;;;Calandrella brachydactyla | Късопръста чучулига;;;;;;;;;;;;;;;;Canis lupus | Вълк;;;;;;;;;;;;;;;
;;;;;;Calandrella rufescens | Сива чучулига;;;;;;;;;;;;;;;;Canis aureus | Чакал;;;;;;;;;;;;;;;
;;;;;;Calcarius lapponicus | Лапландска овесарка;;;;;;;;;;;;;;;;Vulpes vulpes | Лисица;;;;;;;;;;;;;;;
;;;;;;Calidris alba | Трипръст брегобегач;;;;;;;;;;;;;;;;Nyctereutes procenoides | Енотовидно куче;;;;;;;;;;;;;;;
;;;;;;Calidris alpina | Тъмногръд брегобегач;;;;;;;;;;;;;;;;Ursus arctos | Кафява мечка;;;;;;;;;;;;;;;
;;;;;;Calidris canutus | Голям брегобегач;;;;;;;;;;;;;;;;Martes martes | Златка;;;;;;;;;;;;;;;
;;;;;;Calidris ferruginea | Кривоклюн брегобегач;;;;;;;;;;;;;;;;Martes foina | Бялка;;;;;;;;;;;;;;;
;;;;;;Calidris fuscicollis | Белокръст брегобегач;;;;;;;;;;;;;;;;Mustela nivalis | Невестулка;;;;;;;;;;;;;;;
;;;;;;Calidris maritima | Морски брегобегач;;;;;;;;;;;;;;;;Mustela putorius | Черен пор;;;;;;;;;;;;;;;
